Year,Honor,Name,Country,Birth Year,Death Year,Title,Category,Context
1927,Man of the Year,Charles Lindbergh,United States,1902,1974,US Air Mail Pilot,,First Solo Transatlantic Flight
1928,Man of the Year,Walter Chrysler,United States,1875,1940,Founder of Chrysler,Economics,Chrysler/Dodge Merger
1929,Man of the Year,Owen D. Young,United States,1874,1962,Member of the German Reparations International Commission,Diplomacy,Young Plan
1930,Man of the Year,Mahatma Gandhi,India,1869,1948,,Revolution,Salt March
1931,Man of the Year,Pierre Laval,France,1883,1945,Prime Minister of France,Politics,
1932,Man of the Year,Franklin D. Roosevelt,United States,1882,1945,President of the United States,Politics,Presidential Election
1933,Man of the Year,Hugh S. Johnson,United States,1882,1942,Director of the National Recovery Administration,Politics,New Deal
1934,Man of the Year,Franklin D. Roosevelt,United States,1882,1945,President of the United States,Politics,
1935,Man of the Year,Haile Selassie,Ethiopia,1892,1975,Emperor of Ethiopia,War,Colonial War
1936,Woman of the Year,Wallis Simpson,United States,1896,1986,Duchess of Windsor,Politics,Edward VIII Abdication Crisis
1937,Man and Wife of the Year,Chiang Kai-shek,China,1887,1975,Premier of the Republic of China,War,World War II
1937,Man and Wife of the Year,Soong Mei-ling,China,1898,2003,First Lady of the Republic of China,War,World War II
1938,Man of the Year,Adolf Hitler,Germany,1889,1945,Chancellor of Germany,War,World War II
1939,Man of the Year,Joseph Stalin,Soviet Union,1878,1953,General Secretary of the Communist Party of the Soviet Union,War,World War II
1940,Man of the Year,Winston Churchill,United Kingdom,1874,1965,Prime Minister of the United Kingdom,War,"Battle of Britain, World War II"
1941,Man of the Year,Franklin D. Roosevelt,United States,1882,1945,President of the United States,War,"Pearl Harbor Attack, World War II"
1942,Man of the Year,Joseph Stalin,Soviet Union,1878,1953,Premier of the Soviet Union,War,"Battle of Stalingrad, World War II"
1943,Man of the Year,George Marshall,United States,1880,1959,Army Chief of Staff,War,World War II
1944,Man of the Year,Dwight D. Eisenhower,United States,1890,1969,Supreme Allied Commander in Europe,War,"Battle of Normandy, World War II"
1945,Man of the Year,Harry S. Truman,United States,1884,1972,President of the United States,War,"Bombing of Hiroshima/Nagasaki, World War II"
1946,Man of the Year,James F. Byrnes,United States,1879,1972,Secretary of State,Diplomacy,Iran Crisis
1947,Man of the Year,George Marshall,United States,1880,1959,Secretary of State,Diplomacy,Marshall Plan
1948,Man of the Year,Harry S. Truman,United States,1884,1972,President of the United States,Politics,Presidential Election
1949,Man of the Half-Century,Winston Churchill,United Kingdom,1874,1965,Prime Minister of the United Kingdom,War,World War II
1950,Man of the Year,The American Soldier,United States,,,,War,Korean War
1951,Man of the Year,Mohammad Mossadegh,Iran,1882,1967,Prime Minister of Iran,Economics,Abadan Crisis
1952,Woman of the Year,Elizabeth II,United Kingdom,1926,,Queen of England,Politics,Royal Coronation
1953,Man of the Year,Konrad Adenauer,West Germany,1876,1967,Chancellor of West Germany,Politics,
1954,Man of the Year,John Foster Dulles,United States,1888,1959,Secretary of State,War,"Manila Pact, Cold War"
1955,Man of the Year,Harlow Curtice,United States,1893,1962,President of General Motors (GM),Economics,
1956,Man of the Year,The Hungarian Freedom Fighter,Hungary,,,,Revolution,Hungarian Revolution
1957,Man of the Year,Nikita Khrushchev,Soviet Union,1894,1971,General Secretary of the Communist Party of the Soviet Union,Space,Sputnik 1
1958,Man of the Year,Charles de Gaulle,France,1890,1970,President of France,Politics,Fifth Republic
1959,Man of the Year,Dwight D. Eisenhower,United States,1890,1969,President of the United States,Politics,
1960,Men of the Year,American Scientists,United States,,,,Science,
1961,Man of the Year,John F. Kennedy,United States,1917,1963,President of the United States,Politics,Presidential Election
1962,Man of the Year,Pope John XXIII,Vatican City,1881,1963,Pope of the Roman Catholic Church,Religion,Vatican Council
1963,Man of the Year,Martin Luther King Jr.,United States,1929,1968,President of the Southern Christian Leadership Conference,Politics,March on Washington
1964,Man of the Year,Lyndon B. Johnson,United States,1908,1973,President of the United States,Politics,Presidential Election
1965,Man of the Year,William Westmoreland,United States,1914,2005,Army General,War,Vietnam War
1966,Man of the Year,The Inheritor,United States,,,,Politics,Baby Boom Generation
1967,Man of the Year,Lyndon B. Johnson,United States,1908,1973,President of the United States,Politics,
1968,Men of the Year,The Apollo 8 Astronauts (William Anders),United States,1933,,NASA Astronaut,Space,Apollo 8
1968,Men of the Year,The Apollo 8 Astronauts (Frank Borman),United States,1928,,NASA Astronaut,Space,Apollo 8
1968,Men of the Year,The Apollo 8 Astronauts (Jim Lovell),United States,1928,,NASA Astronaut,Space,Apollo 8
1969,Man and Woman of the Year,The Middle Americans,United States,,,,Politics,
1970,Man of the Year,Willy Brandt,West Germany,1913,1992,Chancellor of West Germany,Politics,
1971,Man of the Year,Richard Nixon,United States,1913,1994,President of the United States,Politics,
